WOORI	172.11.1.2
DESKTOP-BDJS3CP	172.11.1.3
WOORI-old	172.11.1.4
[172-11-1-5.lightspeed.jcvlfl.sbcglobal.net](172-11-1-5.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.5
WINDOWS-3GH7MRG	172.11.1.6
[172-11-1-10.lightspeed.jcvlfl.sbcglobal.net](172-11-1-10.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.10
[172-11-1-21.lightspeed.jcvlfl.sbcglobal.net](172-11-1-21.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.21
[172-11-1-22.lightspeed.jcvlfl.sbcglobal.net](172-11-1-22.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.22
[172-11-1-31.lightspeed.jcvlfl.sbcglobal.net](172-11-1-31.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.31
[172-11-1-41.lightspeed.jcvlfl.sbcglobal.net](172-11-1-41.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.41
[172-11-1-42.lightspeed.jcvlfl.sbcglobal.net](172-11-1-42.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.42
[172-11-1-51.lightspeed.jcvlfl.sbcglobal.net](172-11-1-51.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.51
[172-11-1-61.lightspeed.jcvlfl.sbcglobal.net](172-11-1-61.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.61
[172-11-1-62.lightspeed.jcvlfl.sbcglobal.net](172-11-1-62.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.62
3층-상담실1	172.11.1.65
3층-상담실2	172.11.1.66
[172-11-1-67.lightspeed.jcvlfl.sbcglobal.net](172-11-1-67.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.67
3층-상담실4	172.11.1.68
3층-상담실5	172.11.1.69
4층-상담실1	172.11.1.70
4층-상담실2	172.11.1.71
4층-상담실3	172.11.1.72
[172-11-1-73.lightspeed.jcvlfl.sbcglobal.net](172-11-1-73.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.73
3층-a타워1	172.11.1.74
[172-11-1-75.lightspeed.jcvlfl.sbcglobal.net](172-11-1-75.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.75
3층-a타워3	172.11.1.76
3층-a타워4	172.11.1.77
3층-a타워5	172.11.1.78
[172-11-1-79.lightspeed.jcvlfl.sbcglobal.net](172-11-1-79.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.79
[172-11-1-80.lightspeed.jcvlfl.sbcglobal.net](172-11-1-80.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.80
4층-a타워2	172.11.1.81
3F-room1	172.11.1.82
3F-room2	172.11.1.83
3F-room3	172.11.1.84
3F-room4	172.11.1.85
3F-room5	172.11.1.86
4F-room1	172.11.1.87
4F-room2	172.11.1.88
4F-room3	172.11.1.89
4층-레이저실	172.11.1.90
5층-회복실1	172.11.1.91
5층-회복실2	172.11.1.92
5층-마취과	172.11.1.93
5층-준비실1	172.11.1.94
5층-준비실2	172.11.1.95
5층-수술1번방	172.11.1.96
[172-11-1-97.lightspeed.jcvlfl.sbcglobal.net](172-11-1-97.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.97
2층-a타워1	172.11.1.101
2층-spc1	172.11.1.102
2층-k5m	172.11.1.103
2층-myopia	172.11.1.104
2층-optos	172.11.1.105
[172-11-1-106.lightspeed.jcvlfl.sbcglobal.net](172-11-1-106.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.106
2층-mr2	172.11.1.107
[172-11-1-108.lightspeed.jcvlfl.sbcglobal.net](172-11-1-108.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.108
2층-a타워2	172.11.1.111
2AT2	172.11.1.112
2층-spc2	172.11.1.113
2층-망막topo	172.11.1.114
2층-시야검사실	172.11.1.115
2층-vep	172.11.1.116
2층-oct1	172.11.1.117
[172-11-1-118.lightspeed.jcvlfl.sbcglobal.net](172-11-1-118.lightspeed.jcvlfl.sbcglobal.net)	172.11.1.118
